"","NULL.","NULL.GP","NULL.GS","NULL.MP","NULL.G","NULL.S","NULL.SOT","NULL.A","NULL.TKL","NULL.YC","NULL.RC","NULL.FC","NULL.FS","team.x","season.x","UID","players.val[nr.name, 2]","Market.value","team.y","season.y","players.val[nr.pos, 1]"
"1","Mikel Arteta","5","0","108","0","0","0","0","11","1","0","5","3","arsenal","2015","Mikel Arteta 2015","Mikel Arteta","2,50 Mill. €","arsenal-fc","2015","Defensive Midfield"
"2","Héctor Bellerín","8","8","720","0","1","0","1","16","0","0","2","3","arsenal","2015","Héctor Bellerín 2015","Héctor Bellerín","5,00 Mill. €","arsenal-fc","2015","Right-Back"
"3","Santi Cazorla","9","9","799","0","19","7","2","23","1","1","6","8","arsenal","2015","Santi Cazorla 2015","Santi Cazorla","26,00 Mill. €","arsenal-fc","2015","Central Midfield"
"4","Petr Cech","9","9","810","0","0","0","0","0","0","0","0","1","arsenal","2015","Petr Cech 2015","Petr Cech","12,00 Mill. €","arsenal-fc","2015","Keeper"
"5","Calum Chambers","2","1","135","0","0","0","0","3","1","0","1","1","arsenal","2015","Calum Chambers 2015","Calum Chambers","12,00 Mill. €","arsenal-fc","2015","Centre Back"
"6","Francis Coquelin","8","8","609","0","4","0","0","35","2","0","8","9","arsenal","2015","Francis Coquelin 2015","Francis Coquelin","7,00 Mill. €","arsenal-fc","2015","Defensive Midfield"
"7","Mathieu Debuchy","1","1","67","0","1","0","0","2","0","0","1","1","arsenal","2015","Mathieu Debuchy 2015","Mathieu Debuchy","13,00 Mill. €","arsenal-fc","2015","Right-Back"
"8","Mathieu Flamini","1","1","21","0","0","0","0","0","0","0","0","0","arsenal","2015","Mathieu Flamini 2015","Mathieu Flamini","4,00 Mill. €","arsenal-fc","2015","Defensive Midfield"
"9","Gabriel","5","5","405","0","1","0","0","6","2","1","2","0","arsenal","2015","Gabriel 2015",NA,NA,NA,NA,NA
"10","Kieran Gibbs","2","0","16","0","0","0","0","2","0","0","0","0","arsenal","2015","Kieran Gibbs 2015","Kieran Gibbs","13,00 Mill. €","arsenal-fc","2015","Left-Back"
"11","Olivier Giroud","9","3","354","4","24","12","0","6","0","0","6","3","arsenal","2015","Olivier Giroud 2015","Olivier Giroud","24,00 Mill. €","arsenal-fc","2015","Centre Forward"
"12","Laurent Koscielny","7","7","630","0","5","2","0","13","0","0","6","8","arsenal","2015","Laurent Koscielny 2015","Laurent Koscielny","20,00 Mill. €","arsenal-fc","2015","Centre Back"
"13","Per Mertesacker","5","5","450","0","1","1","0","8","1","0","2","1","arsenal","2015","Per Mertesacker 2015","Per Mertesacker","15,00 Mill. €","arsenal-fc","2015","Centre Back"
"14","Nacho Monreal","9","9","810","0","1","1","2","19","1","0","8","12","arsenal","2015","Nacho Monreal 2015","Nacho Monreal","12,00 Mill. €","arsenal-fc","2015","Left-Back"
"15","Alex Oxlade-Chamberlain","9","2","264","0","10","2","0","5","0","0","3","5","arsenal","2015","Alex Oxlade-Chamberlain 2015","Alex Oxlade-Chamberlain","20,00 Mill. €","arsenal-fc","2015","Right Wing"
"16","Mesut Ozil","8","8","668","1","11","4","6","12","1","0","8","6","arsenal","2015","Mesut Ozil 2015",NA,NA,NA,NA,NA
"17","Aaron Ramsey","9","9","797","1","27","8","0","24","0","0","13","21","arsenal","2015","Aaron Ramsey 2015","Aaron Ramsey","28,00 Mill. €","arsenal-fc","2015","Central Midfield"
"18","Alexis Sánchez","9","8","688","6","45","15","0","11","0","0","11","21","arsenal","2015","Alexis Sánchez 2015","Alexis Sánchez","55,00 Mill. €","arsenal-fc","2015","Left Wing"
"19","Theo Walcott","8","6","503","2","26","12","2","2","0","0","1","8","arsenal","2015","Theo Walcott 2015","Theo Walcott","25,00 Mill. €","arsenal-fc","2015","Right Wing"
"20","Joe Allen","3","0","21","0","0","0","0","0","0","0","1","1","liverpool","2015","Joe Allen 2015","Joe Allen","10,00 Mill. €","liverpool-fc","2015","Central Midfield"
"21","Christian Benteke","6","6","495","2","13","5","0","4","0","0","6","9","liverpool","2015","Christian Benteke 2015","Christian Benteke","35,00 Mill. €","liverpool-fc","2015","Centre Forward"
"22","Emre Can","9","7","650","0","4","1","0","30","2","0","5","7","liverpool","2015","Emre Can 2015","Emre Can","15,00 Mill. €","liverpool-fc","2015","Defensive Midfield"
"23","Nathaniel Clyne","9","9","810","0","5","0","0","25","2","0","7","10","liverpool","2015","Nathaniel Clyne 2015","Nathaniel Clyne","17,00 Mill. €","liverpool-fc","2015","Right-Back"
